Track,Album,Artist,Year,Category
The Gift of Fury,Conan the Barbarian,Basil Poledouris,1982,Movie
Column of Sadness / Wheel of Pain,Conan the Barbarian,Basil Poledouris,1982,Movie
Atlantean Sword,Conan the Barbarian,Basil Poledouris,1982,Movie
Theology / Civilization,Conan the Barbarian,Basil Poledouris,1982,Movie
Love Theme,Conan the Barbarian,Basil Poledouris,1982,Movie
The Search,Conan the Barbarian,Basil Poledouris,1982,Movie
The Orgy,Conan the Barbarian,Basil Poledouris,1982,Movie
The Funeral Pyre,Conan the Barbarian,Basil Poledouris,1982,Movie
"Battle of the Mounds, Part 1",Conan the Barbarian,Basil Poledouris,1982,Movie
Orphans of Doom / The Awakening,Conan the Barbarian,Basil Poledouris,1982,Movie
Twin Peaks Theme,Twin Peaks,Angelo Badalamenti,1990,Television
Laura Palmer's Theme,Twin Peaks,Angelo Badalamenti,1990,Television
Audrey's Dance,Twin Peaks,Angelo Badalamenti,1990,Television
The Nightingale,Twin Peaks,Angelo Badalamenti,1990,Television
Freshly Squeezed,Twin Peaks,Angelo Badalamenti,1990,Television
The Bookhouse Boys,Twin Peaks,Angelo Badalamenti,1990,Television
Into the Night,Twin Peaks,Angelo Badalamenti,1990,Television
Night Life in Twin Peaks,Twin Peaks,Angelo Badalamenti,1990,Television
Dance of the Dream Man,Twin Peaks,Angelo Badalamenti,1990,Television
Love Theme from Twin Peaks,Twin Peaks,Angelo Badalamenti,1990,Television
Falling,Twin Peaks,Angelo Badalamenti,1990,Television
Title Theme,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Deku Tree,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Fairy Flying,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
House,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Kokiri Forest,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Shop,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Battle,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Inside the Deku Tree,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Boss Battle,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Hyrule Field Main Theme,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Market,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Hyrule Castle Courtyard,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Ocarina Songs,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Ocarina of Time,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
LonLon Ranch,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Kakariko Village,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Lost Woods,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Zora's Domain,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Great Fairy's Fountain,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Temple of Time,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Chamber of the Sages,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Horse Race,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Kakariko Village Orchestra,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Windmill Hut,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Gerudo Valley,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Ganondorf Battle,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Last Battle,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Zelda's Lullaby,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Staff Credits Theme,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Minuet of Forest,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Bolero of Fire,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Serenade of Water,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Nocturne of Shadow,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Prelude of Light,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Requiem of Spirit,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Somewhat Damaged,Nine Inch Nails,1999,Music
The Day the World Went Away,Nine Inch Nails,1999,Music
The Frail,Nine Inch Nails,1999,Music
The Wretched,Nine Inch Nails,1999,Music
We're in This Together,Nine Inch Nails,1999,Music
The Fragile,Nine Inch Nails,1999,Music
Just Like You Imagined,Nine Inch Nails,1999,Music
Even Deeper,Nine Inch Nails,1999,Music
Pilgrimage,Nine Inch Nails,1999,Music
"No, You Don't",Nine Inch Nails,1999,Music
La Mer,Nine Inch Nails,1999,Music
The Great Below,Nine Inch Nails,1999,Music
The Way Out Is Through,Nine Inch Nails,1999,Music
Into the Void,Nine Inch Nails,1999,Music
Where Is Everybody?,Nine Inch Nails,1999,Music
The Mark Has Been Made,Nine Inch Nails,1999,Music
Please,Nine Inch Nails,1999,Music
"Starfuckers, Inc.",Nine Inch Nails,1999,Music
Complication,Nine Inch Nails,1999,Music
"I'm Looking Forward to Joining You, Finally",Nine Inch Nails,1999,Music
The Big Come Down,Nine Inch Nails,1999,Music
Underneath It All,Nine Inch Nails,1999,Music
Ripe (With Decay),Nine Inch Nails,1999,Music
Super '70s,Andy Timmons,2002,Music
Pink Champagne Sparkle,Andy Timmons,2002,Music
Falling Down,Andy Timmons,2002,Music
"Beautiful, Strange",Andy Timmons,2002,Music
Turn Away,Andy Timmons,2002,Music
I Remember Stevie,Andy Timmons,2002,Music
Cry for You,Andy Timmons,2002,Music
Farmer Sez,Andy Timmons,2002,Music
Electric Gypsy,Andy Timmons,2002,Music
It's Getting Better,Andy Timmons,2002,Music
"That Was Then, This Is Now",Andy Timmons,2002,Music
Groove or Die,Andy Timmons,2002,Music
A Night to Remember,Andy Timmons,2002,Music
Carpe Diem,Andy Timmons,2002,Music
Donna Lee (Twist -Live!),Andy Timmons,2002,Music
Slips Away (Dedicated to George Harrison),Andy Timmons,2002,Music
Keeping the Blade,Coheed and Cambria,2005,Music
Always & Never,Coheed and Cambria,2005,Music
Welcome Home,Coheed and Cambria,2005,Music
Ten Speed (of God's Blood & Burial),Coheed and Cambria,2005,Music
Crossing the Frame,Coheed and Cambria,2005,Music
Apollo I: The Writing Writer,Coheed and Cambria,2005,Music
Once Upon Your Dead Body,Coheed and Cambria,2005,Music
Wake Up,Coheed and Cambria,2005,Music
The Suffering,Coheed and Cambria,2005,Music
The Lying Lies & Dirty Secrets of Miss Erica Court,Coheed and Cambria,2005,Music
Mother May I,Coheed and Cambria,2005,Music
The Willing Well I: Fuel for the Feeding End,Coheed and Cambria,2005,Music
The Willing Well II: From Fear Through the Eyes of Madness,Coheed and Cambria,2005,Music
The Willing Well III: Apollo II: The Telling Truth,Coheed and Cambria,2005,Music
The Willing Well IV: The Final Cut,Coheed and Cambria,2005,Music
